time_s,gt_pos_x_m,gt_pos_y_m,gt_pos_z_m
0,0,0,0
0.02,0.02,0,0
0.04,0.04,0,0
0.06,0.06,0,0
0.08,0.08,0,0
0.1,0.1,0,0
0.12,0.12,0,0
0.14,0.14,0,0
0.16,0.16,0,0
0.18,0.18,0,0
0.2,0.2,0,0
0.22,0.22,0,0
0.24,0.24,0,0
0.26,0.26,0,0
0.28,0.28,0,0
0.3,0.3,0,0
0.32,0.32,0,0
0.34,0.34,0,0
0.36,0.36,0,0
0.38,0.38,0,0
0.4,0.4,0,0
0.42,0.42,0,0
0.44,0.44,0,0
0.46,0.46,0,0
0.48,0.48,0,0
0.5,0.5,0,0
0.52,0.52,0,0
0.54,0.54,0,0
0.56,0.56,0,0
0.58,0.58,0,0
0.6,0.6,0,0
0.62,0.62,0,0
0.64,0.64,0,0
0.66,0.66,0,0
0.68,0.68,0,0
0.7,0.7,0,0
0.72,0.72,0,0
0.74,0.74,0,0
0.76,0.76,0,0
0.78,0.78,0,0
0.8,0.8,0,0
0.82,0.82,0,0
0.84,0.84,0,0
0.86,0.86,0,0
0.88,0.88,0,0
0.9,0.9,0,0
0.92,0.92,0,0
0.94,0.94,0,0
0.96,0.96,0,0
0.98,0.98,0,0
1,1,0,0
1.02,1.02,0,0
1.04,1.04,0,0
1.06,1.06,0,0
1.08,1.08,0,0
1.1,1.1,0,0
1.12,1.12,0,0
1.14,1.14,0,0
1.16,1.16,0,0
1.18,1.18,0,0
1.2,1.2,0,0
1.22,1.22,0,0
1.24,1.24,0,0
1.26,1.26,0,0
1.28,1.28,0,0
1.3,1.3,0,0
1.32,1.32,0,0
1.34,1.34,0,0
1.36,1.36,0,0
1.38,1.38,0,0
1.4,1.4,0,0
1.42,1.42,0,0
1.44,1.44,0,0
1.46,1.46,0,0
1.48,1.48,0,0
1.5,1.5,0,0
1.52,1.52,0,0
1.54,1.54,0,0
1.56,1.56,0,0
1.58,1.58,0,0
1.6,1.6,0,0
1.62,1.62,0,0
1.64,1.64,0,0
1.66,1.66,0,0
1.68,1.68,0,0
1.7,1.7,0,0
1.72,1.72,0,0
1.74,1.74,0,0
1.76,1.76,0,0
1.78,1.78,0,0
1.8,1.8,0,0
1.82,1.82,0,0
1.84,1.84,0,0
1.86,1.86,0,0
1.88,1.88,0,0
1.9,1.9,0,0
1.92,1.92,0,0
1.94,1.94,0,0
1.96,1.96,0,0
1.98,1.98,0,0
2,2,0,0
2.02,2.02,0,0
2.04,2.04,0,0
2.06,2.06,0,0
2.08,2.08,0,0
2.1,2.1,0,0
2.12,2.12,0,0
2.14,2.14,0,0
2.16,2.16,0,0
2.18,2.18,0,0
2.2,2.2,0,0
2.22,2.22,0,0
2.24,2.24,0,0
2.26,2.26,0,0
2.28,2.28,0,0
2.3,2.3,0,0
2.32,2.32,0,0
2.34,2.34,0,0
2.36,2.36,0,0
2.38,2.38,0,0
2.4,2.4,0,0
2.42,2.42,0,0
2.44,2.44,0,0
2.46,2.46,0,0
2.48,2.48,0,0
2.5,2.5,0,0
2.52,2.52,0,0
2.54,2.54,0,0
2.56,2.56,0,0
2.58,2.58,0,0
2.6,2.6,0,0
2.62,2.62,0,0
2.64,2.64,0,0
2.66,2.66,0,0
2.68,2.68,0,0
2.7,2.7,0,0
2.72,2.72,0,0
2.74,2.74,0,0
2.76,2.76,0,0
2.78,2.78,0,0
2.8,2.8,0,0
2.82,2.82,0,0
2.84,2.84,0,0
2.86,2.86,0,0
2.88,2.88,0,0
2.9,2.9,0,0
2.92,2.92,0,0
2.94,2.94,0,0
2.96,2.96,0,0
2.98,2.98,0,0
3,3,0,0
3.02,3.02,0,0
3.04,3.04,0,0
3.06,3.06,0,0
3.08,3.08,0,0
3.1,3.1,0,0
3.12,3.12,0,0
3.14,3.14,0,0
3.16,3.16,0,0
3.18,3.18,0,0
3.2,3.2,0,0
3.22,3.22,0,0
3.24,3.24,0,0
3.26,3.26,0,0
3.28,3.28,0,0
3.3,3.3,0,0
3.32,3.32,0,0
3.34,3.34,0,0
3.36,3.36,0,0
3.38,3.38,0,0
3.4,3.4,0,0
3.42,3.42,0,0
3.44,3.44,0,0
3.46,3.46,0,0
3.48,3.48,0,0
3.5,3.5,0,0
3.52,3.52,0,0
3.54,3.54,0,0
3.56,3.56,0,0
3.58,3.58,0,0
3.6,3.6,0,0
3.62,3.62,0,0
3.64,3.64,0,0
3.66,3.66,0,0
3.68,3.68,0,0
3.7,3.7,0,0
3.72,3.72,0,0
3.74,3.74,0,0
3.76,3.76,0,0
3.78,3.78,0,0
3.8,3.8,0,0
3.82,3.82,0,0
3.84,3.84,0,0
3.86,3.86,0,0
3.88,3.88,0,0
3.9,3.9,0,0
3.92,3.92,0,0
3.94,3.94,0,0
3.96,3.96,0,0
3.98,3.98,0,0
4,4,0,0
4.02,4.02,0,0
4.04,4.04,0,0
4.06,4.06,0,0
4.08,4.08,0,0
4.1,4.1,0,0
4.12,4.12,0,0
4.14,4.14,0,0
4.16,4.16,0,0
4.18,4.18,0,0
4.2,4.2,0,0
4.22,4.22,0,0
4.24,4.24,0,0
4.26,4.26,0,0
4.28,4.28,0,0
4.3,4.3,0,0
4.32,4.32,0,0
4.34,4.34,0,0
4.36,4.36,0,0
4.38,4.38,0,0
4.4,4.4,0,0
4.42,4.42,0,0
4.44,4.44,0,0
4.46,4.46,0,0
4.48,4.48,0,0
4.5,4.5,0,0
4.52,4.52,0,0
4.54,4.54,0,0
4.56,4.56,0,0
4.58,4.58,0,0
4.6,4.6,0,0
4.62,4.62,0,0
4.64,4.64,0,0
4.66,4.66,0,0
4.68,4.68,0,0
4.7,4.7,0,0
4.72,4.72,0,0
4.74,4.74,0,0
4.76,4.76,0,0
4.78,4.78,0,0
4.8,4.8,0,0
4.82,4.82,0,0
4.84,4.84,0,0
4.86,4.86,0,0
4.88,4.88,0,0
4.9,4.9,0,0
4.92,4.92,0,0
4.94,4.94,0,0
4.96,4.96,0,0
4.98,4.98,0,0
5,5,0,0
5.02,5.02,0,0
5.04,5.04,0,0
5.06,5.06,0,0
5.08,5.08,0,0
5.1,5.1,0,0
5.12,5.12,0,0
5.14,5.14,0,0
5.16,5.16,0,0
5.18,5.18,0,0
5.2,5.2,0,0
5.22,5.22,0,0
5.24,5.24,0,0
5.26,5.26,0,0
5.28,5.28,0,0
5.3,5.3,0,0
5.32,5.32,0,0
5.34,5.34,0,0
5.36,5.36,0,0
5.38,5.38,0,0
5.4,5.4,0,0
5.42,5.42,0,0
5.44,5.44,0,0
5.46,5.46,0,0
5.48,5.48,0,0
5.5,5.5,0,0
5.52,5.52,0,0
5.54,5.54,0,0
5.56,5.56,0,0
5.58,5.58,0,0
5.6,5.6,0,0
5.62,5.62,0,0
5.64,5.64,0,0
5.66,5.66,0,0
5.68,5.68,0,0
5.7,5.7,0,0
5.72,5.72,0,0
5.74,5.74,0,0
5.76,5.76,0,0
5.78,5.78,0,0
5.8,5.8,0,0
5.82,5.82,0,0
5.84,5.84,0,0
5.86,5.86,0,0
5.88,5.88,0,0
5.9,5.9,0,0
5.92,5.92,0,0
5.94,5.94,0,0
5.96,5.96,0,0
5.98,5.98,0,0
6,6,0,0
6.02,6.02,0,0
6.04,6.04,0,0
6.06,6.06,0,0
6.08,6.08,0,0
6.1,6.1,0,0
6.12,6.12,0,0
6.14,6.14,0,0
6.16,6.16,0,0
6.18,6.18,0,0
6.2,6.2,0,0
6.22,6.22,0,0
6.24,6.24,0,0
6.26,6.26,0,0
6.28,6.28,0,0
6.3,6.3,0,0
6.32,6.32,0,0
6.34,6.34,0,0
6.36,6.36,0,0
6.38,6.38,0,0
6.4,6.4,0,0
6.42,6.42,0,0
6.44,6.44,0,0
6.46,6.46,0,0
6.48,6.48,0,0
6.5,6.5,0,0
6.52,6.52,0,0
6.54,6.54,0,0
6.56,6.56,0,0
6.58,6.58,0,0
6.6,6.6,0,0
6.62,6.62,0,0
6.64,6.64,0,0
6.66,6.66,0,0
6.68,6.68,0,0
6.7,6.7,0,0
6.72,6.72,0,0
6.74,6.74,0,0
6.76,6.76,0,0
6.78,6.78,0,0
6.8,6.8,0,0
6.82,6.82,0,0
6.84,6.84,0,0
6.86,6.86,0,0
6.88,6.88,0,0
6.9,6.9,0,0
6.92,6.92,0,0
6.94,6.94,0,0
6.96,6.96,0,0
6.98,6.98,0,0
7,7,0,0
7.02,7.02,0,0
7.04,7.04,0,0
7.06,7.06,0,0
7.08,7.08,0,0
7.1,7.1,0,0
7.12,7.12,0,0
7.14,7.14,0,0
7.16,7.16,0,0
7.18,7.18,0,0
7.2,7.2,0,0
7.22,7.22,0,0
7.24,7.24,0,0
7.26,7.26,0,0
7.28,7.28,0,0
7.3,7.3,0,0
7.32,7.32,0,0
7.34,7.34,0,0
7.36,7.36,0,0
7.38,7.38,0,0
7.4,7.4,0,0
7.42,7.42,0,0
7.44,7.44,0,0
7.46,7.46,0,0
7.48,7.48,0,0
7.5,7.5,0,0
7.52,7.52,0,0
7.54,7.54,0,0
7.56,7.56,0,0
7.58,7.58,0,0
7.6,7.6,0,0
7.62,7.62,0,0
7.64,7.64,0,0
7.66,7.66,0,0
7.68,7.68,0,0
7.7,7.7,0,0
7.72,7.72,0,0
7.74,7.74,0,0
7.76,7.76,0,0
7.78,7.78,0,0
7.8,7.8,0,0
7.82,7.82,0,0
7.84,7.84,0,0
7.86,7.86,0,0
7.88,7.88,0,0
7.9,7.9,0,0
7.92,7.92,0,0
7.94,7.94,0,0
7.96,7.96,0,0
7.98,7.98,0,0
8,8,0,0
8.02,8.02,0,0
8.04,8.04,0,0
8.06,8.06,0,0
8.08,8.08,0,0
8.1,8.1,0,0
8.12,8.12,0,0
8.14,8.14,0,0
8.16,8.16,0,0
8.18,8.18,0,0
8.2,8.2,0,0
8.22,8.22,0,0
8.24,8.24,0,0
8.26,8.26,0,0
8.28,8.28,0,0
8.3,8.3,0,0
8.32,8.32,0,0
8.34,8.34,0,0
8.36,8.36,0,0
8.38,8.38,0,0
8.4,8.4,0,0
8.42,8.42,0,0
8.44,8.44,0,0
8.46,8.46,0,0
8.48,8.48,0,0
8.5,8.5,0,0
8.52,8.52,0,0
8.54,8.54,0,0
8.56,8.56,0,0
8.58,8.58,0,0
8.6,8.6,0,0
8.62,8.62,0,0
8.64,8.64,0,0
8.66,8.66,0,0
8.68,8.68,0,0
8.7,8.7,0,0
8.72,8.72,0,0
8.74,8.74,0,0
8.76,8.76,0,0
8.78,8.78,0,0
8.8,8.8,0,0
8.82,8.82,0,0
8.84,8.84,0,0
8.86,8.86,0,0
8.88,8.88,0,0
8.9,8.9,0,0
8.92,8.92,0,0
8.94,8.94,0,0
8.96,8.96,0,0
8.98,8.98,0,0
9,9,0,0
9.02,9.02,0,0
9.04,9.04,0,0
9.06,9.06,0,0
9.08,9.08,0,0
9.1,9.1,0,0
9.12,9.12,0,0
9.14,9.14,0,0
9.16,9.16,0,0
9.18,9.18,0,0
9.2,9.2,0,0
9.22,9.22,0,0
9.24,9.24,0,0
9.26,9.26,0,0
9.28,9.28,0,0
9.3,9.3,0,0
9.32,9.32,0,0
9.34,9.34,0,0
9.36,9.36,0,0
9.38,9.38,0,0
9.4,9.4,0,0
9.42,9.42,0,0
9.44,9.44,0,0
9.46,9.46,0,0
9.48,9.48,0,0
9.5,9.5,0,0
9.52,9.52,0,0
9.54,9.54,0,0
9.56,9.56,0,0
9.58,9.58,0,0
9.6,9.6,0,0
9.62,9.62,0,0
9.64,9.64,0,0
9.66,9.66,0,0
9.68,9.68,0,0
9.7,9.7,0,0
9.72,9.72,0,0
9.74,9.74,0,0
9.76,9.76,0,0
9.78,9.78,0,0
9.8,9.8,0,0
9.82,9.82,0,0
9.84,9.84,0,0
9.86,9.86,0,0
9.88,9.88,0,0
9.9,9.9,0,0
9.92,9.92,0,0
9.94,9.94,0,0
9.96,9.96,0,0
9.98,9.98,0,0
10,10,0,0
10.02,10.02,0,0
10.04,10.04,0,0
10.06,10.06,0,0
10.08,10.08,0,0
10.1,10.1,0,0
10.12,10.12,0,0
10.14,10.14,0,0
10.16,10.16,0,0
10.18,10.18,0,0
10.2,10.2,0,0
10.22,10.22,0,0
10.24,10.24,0,0
10.26,10.26,0,0
10.28,10.28,0,0
10.3,10.3,0,0
10.32,10.32,0,0
10.34,10.34,0,0
10.36,10.36,0,0
10.38,10.38,0,0
10.4,10.4,0,0
10.42,10.42,0,0
10.44,10.44,0,0
10.46,10.46,0,0
10.48,10.48,0,0
10.5,10.5,0,0
10.52,10.52,0,0
10.54,10.54,0,0
10.56,10.56,0,0
10.58,10.58,0,0
10.6,10.6,0,0
10.62,10.62,0,0
10.64,10.64,0,0
10.66,10.66,0,0
10.68,10.68,0,0
10.7,10.7,0,0
10.72,10.72,0,0
10.74,10.74,0,0
10.76,10.76,0,0
10.78,10.78,0,0
10.8,10.8,0,0
10.82,10.82,0,0
10.84,10.84,0,0
10.86,10.86,0,0
10.88,10.88,0,0
10.9,10.9,0,0
10.92,10.92,0,0
10.94,10.94,0,0
10.96,10.96,0,0
10.98,10.98,0,0
11,11,0,0
11.02,11.02,0,0
11.04,11.04,0,0
11.06,11.06,0,0
11.08,11.08,0,0
11.1,11.1,0,0
11.12,11.12,0,0
11.14,11.14,0,0
11.16,11.16,0,0
11.18,11.18,0,0
11.2,11.2,0,0
11.22,11.22,0,0
11.24,11.24,0,0
11.26,11.26,0,0
11.28,11.28,0,0
11.3,11.3,0,0
11.32,11.32,0,0
11.34,11.34,0,0
11.36,11.36,0,0
11.38,11.38,0,0
11.4,11.4,0,0
11.42,11.42,0,0
11.44,11.44,0,0
11.46,11.46,0,0
11.48,11.48,0,0
11.5,11.5,0,0
11.52,11.52,0,0
11.54,11.54,0,0
11.56,11.56,0,0
11.58,11.58,0,0
11.6,11.6,0,0
11.62,11.62,0,0
11.64,11.64,0,0
11.66,11.66,0,0
11.68,11.68,0,0
11.7,11.7,0,0
11.72,11.72,0,0
11.74,11.74,0,0
11.76,11.76,0,0
11.78,11.78,0,0
11.8,11.8,0,0
11.82,11.82,0,0
11.84,11.84,0,0
11.86,11.86,0,0
11.88,11.88,0,0
11.9,11.9,0,0
11.92,11.92,0,0
11.94,11.94,0,0
11.96,11.96,0,0
11.98,11.98,0,0
12,12,0,0
12.02,12.02,0,0
12.04,12.04,0,0
12.06,12.06,0,0
12.08,12.08,0,0
12.1,12.1,0,0
12.12,12.12,0,0
12.14,12.14,0,0
12.16,12.16,0,0
12.18,12.18,0,0
12.2,12.2,0,0
12.22,12.22,0,0
12.24,12.24,0,0
12.26,12.26,0,0
12.28,12.28,0,0
12.3,12.3,0,0
12.32,12.32,0,0
12.34,12.34,0,0
12.36,12.36,0,0
12.38,12.38,0,0
12.4,12.4,0,0
12.42,12.42,0,0
12.44,12.44,0,0
12.46,12.46,0,0
12.48,12.48,0,0
12.5,12.5,0,0
12.52,12.52,0,0
12.54,12.54,0,0
12.56,12.56,0,0
12.58,12.58,0,0
12.6,12.6,0,0
12.62,12.62,0,0
12.64,12.64,0,0
12.66,12.66,0,0
12.68,12.68,0,0
12.7,12.7,0,0
12.72,12.72,0,0
12.74,12.74,0,0
12.76,12.76,0,0
12.78,12.78,0,0
12.8,12.8,0,0
12.82,12.82,0,0
12.84,12.84,0,0
12.86,12.86,0,0
12.88,12.88,0,0
12.9,12.9,0,0
12.92,12.92,0,0
12.94,12.94,0,0
12.96,12.96,0,0
12.98,12.98,0,0
13,13,0,0
13.02,13.02,0,0
13.04,13.04,0,0
13.06,13.06,0,0
13.08,13.08,0,0
13.1,13.1,0,0
13.12,13.12,0,0
13.14,13.14,0,0
13.16,13.16,0,0
13.18,13.18,0,0
13.2,13.2,0,0
13.22,13.22,0,0
13.24,13.24,0,0
13.26,13.26,0,0
13.28,13.28,0,0
13.3,13.3,0,0
13.32,13.32,0,0
13.34,13.34,0,0
13.36,13.36,0,0
13.38,13.38,0,0
13.4,13.4,0,0
13.42,13.42,0,0
13.44,13.44,0,0
13.46,13.46,0,0
13.48,13.48,0,0
13.5,13.5,0,0
13.52,13.52,0,0
13.54,13.54,0,0
13.56,13.56,0,0
13.58,13.58,0,0
13.6,13.6,0,0
13.62,13.62,0,0
13.64,13.64,0,0
13.66,13.66,0,0
13.68,13.68,0,0
13.7,13.7,0,0
13.72,13.72,0,0
13.74,13.74,0,0
13.76,13.76,0,0
13.78,13.78,0,0
13.8,13.8,0,0
13.82,13.82,0,0
13.84,13.84,0,0
13.86,13.86,0,0
13.88,13.88,0,0
13.9,13.9,0,0
13.92,13.92,0,0
13.94,13.94,0,0
13.96,13.96,0,0
13.98,13.98,0,0
14,14,0,0
14.02,14.02,0,0
14.04,14.04,0,0
14.06,14.06,0,0
14.08,14.08,0,0
14.1,14.1,0,0
14.12,14.12,0,0
14.14,14.14,0,0
14.16,14.16,0,0
14.18,14.18,0,0
14.2,14.2,0,0
14.22,14.22,0,0
14.24,14.24,0,0
14.26,14.26,0,0
14.28,14.28,0,0
14.3,14.3,0,0
14.32,14.32,0,0
14.34,14.34,0,0
14.36,14.36,0,0
14.38,14.38,0,0
14.4,14.4,0,0
14.42,14.42,0,0
14.44,14.44,0,0
14.46,14.46,0,0
14.48,14.48,0,0
14.5,14.5,0,0
14.52,14.52,0,0
14.54,14.54,0,0
14.56,14.56,0,0
14.58,14.58,0,0
14.6,14.6,0,0
14.62,14.62,0,0
14.64,14.64,0,0
14.66,14.66,0,0
14.68,14.68,0,0
14.7,14.7,0,0
14.72,14.72,0,0
14.74,14.74,0,0
14.76,14.76,0,0
14.78,14.78,0,0
14.8,14.8,0,0
14.82,14.82,0,0
14.84,14.84,0,0
14.86,14.86,0,0
